iter	MultiClass
0	1.044630429
1	0.9936399905
2	0.9492302475
3	0.908085602
4	0.8707052766
5	0.84055524
6	0.8132951785
7	0.7850719875
8	0.7572253591
9	0.7341500754
10	0.7146948531
11	0.6938053677
12	0.6720064713
13	0.6518374736
14	0.6335330797
15	0.6192736656
16	0.6006711003
17	0.5868522647
18	0.5744923863
19	0.5639074354
20	0.5473959157
21	0.5361814536
22	0.5250119474
23	0.5138909358
24	0.5027807542
25	0.4928343265
26	0.4820984916
27	0.4736046949
28	0.4661149886
29	0.4583137745
30	0.4496786927
31	0.4422444189
32	0.4375189369
33	0.4304659247
34	0.4237455597
35	0.4178420764
36	0.4106610375
37	0.4071587511
38	0.4014169439
39	0.3951523926
40	0.3909617413
41	0.3841904672
42	0.3802932604
43	0.3750992307
44	0.3712374958
45	0.3661609641
46	0.3606139546
47	0.3561185065
48	0.3514130312
49	0.3462906263
50	0.3417626716
51	0.3370738164
52	0.3325642302
53	0.3296303738
54	0.326812576
55	0.3235591921
56	0.3195422866
57	0.3157883439
58	0.3120526946
59	0.3073598891
60	0.3042540718
61	0.3000755968
62	0.2976930714
63	0.2940442035
64	0.2923017813
65	0.2897645946
66	0.2862416827
67	0.2840531747
68	0.2814899795
69	0.2778555463
70	0.2764347189
71	0.2735548441
72	0.2704468984
73	0.2674956655
74	0.2645835374
75	0.2626088572
76	0.2611876503
77	0.2592324811
78	0.2566367114
79	0.2543053253
80	0.2512544385
81	0.2494560994
82	0.2465187109
83	0.2439109342
84	0.2420150151
85	0.2398414242
86	0.2365329199
87	0.2344333179
88	0.2328425918
89	0.2310082377
90	0.2289297193
91	0.2268517554
92	0.2249639545
93	0.2233523534
94	0.2209634717
95	0.2189624987
96	0.2170747777
97	0.2150682588
98	0.2125962378
99	0.2108596712
100	0.2091156656
101	0.2075230915
102	0.2055138202
103	0.203513208
104	0.2010064932
105	0.1997832915
106	0.1974309396
107	0.1960946761
108	0.1952418525
109	0.1947034545
110	0.1931883549
111	0.1916187293
112	0.189278351
113	0.1878207337
114	0.1867064031
115	0.1852232182
116	0.1840460651
117	0.1823186345
118	0.1814471453
119	0.1804599814
120	0.1788273452
121	0.1777922129
122	0.1760343969
123	0.1741789422
124	0.1735145058
125	0.1723734016
126	0.1709640119
127	0.1697772548
128	0.1692518594
129	0.1677434515
130	0.1663324602
131	0.1655390695
132	0.1640760714
133	0.1631930907
134	0.1616553849
135	0.1603217469
136	0.1583701147
137	0.1574647099
138	0.1564181173
139	0.1551919552
140	0.1539311434
141	0.152622504
142	0.151409814
143	0.1503872624
144	0.1495301332
145	0.1477096261
146	0.1465862055
147	0.1460371485
148	0.1448776601
149	0.1439688848
150	0.1429479918
151	0.1414537137
152	0.1405689852
153	0.1402928372
154	0.1396246844
155	0.1389681592
156	0.1381150475
157	0.1369871087
158	0.1365212145
159	0.1355989701
160	0.1341769177
161	0.1332870769
162	0.1323503753
163	0.1316207621
164	0.1308151375
165	0.1301186048
166	0.1289584722
167	0.1283792577
168	0.1278713454
169	0.1269373139
170	0.1260737298
171	0.1251148359
172	0.1246875462
173	0.1243957808
174	0.1237104416
175	0.122902558
176	0.1220876723
177	0.1216017019
178	0.120809194
179	0.1201590942
180	0.1192262859
181	0.1182372745
182	0.1173695326
183	0.1163946936
184	0.1157593091
185	0.1147389035
186	0.114245098
187	0.1134222797
188	0.1130971193
189	0.1126645075
190	0.1122319633
191	0.1118214033
192	0.1110133044
193	0.1103685745
194	0.1097810356
195	0.1095660369
196	0.109155719
197	0.1086772179
198	0.1080988377
199	0.1074422467
200	0.10657051
201	0.1059200776
202	0.1054610909
203	0.1050382905
