iter	Passed	Remaining
399	44824	67237
400	44959	67158
401	45077	67055
402	45211	66975
403	45323	66863
404	45410	66714
405	45536	66622
406	45641	66500
407	45771	66413
408	45907	66335
409	46016	66219
410	46137	66119
411	46245	66000
412	46361	65893
413	46494	65810
414	46608	65700
415	46681	65534
416	46809	65443
417	46912	65318
418	47065	65262
419	47180	65153
420	47288	65036
421	47414	64942
422	47524	64827
423	47591	64652
424	47695	64529
425	47788	64391
426	47936	64327
427	48057	64226
428	48189	64139
429	48309	64038
430	48426	63931
431	48559	63846
432	48659	63717
433	48755	63584
434	48850	63449
435	48939	63307
436	49014	63147
437	49110	63013
438	49170	62835
439	49296	62740
440	49397	62615
441	49506	62498
442	49615	62383
443	49736	62282
444	49890	62222
445	50025	62139
446	50187	62088
447	50284	61957
448	50396	61845
449	50515	61740
450	50642	61646
451	50759	61540
452	50848	61400
453	50945	61268
454	51065	61165
455	51211	61093
456	51323	60981
457	51441	60875
458	51585	60801
459	51719	60714
460	51844	60616
461	51980	60531
462	52086	60411
463	52218	60320
464	52323	60199
465	52448	60102
466	52583	60014
467	52700	59907
468	52848	59835
469	52948	59707
470	53067	59602
471	53155	59462
472	53284	59367
473	53380	59237
474	53468	59096
475	53574	58976
476	53687	58864
477	53828	58783
478	53920	58648
479	54026	58528
480	54120	58396
481	54219	58269
482	54331	58155
483	54414	58012
484	54554	57928
485	54688	57839
486	54818	57744
487	54939	57641
488	55047	57523
489	55181	57433
490	55333	57361
491	55469	57273
492	55598	57177
493	55685	57038
494	55780	56907
495	55914	56815
496	56024	56700
497	56144	56595
498	56252	56478
499	56317	56317
500	56399	56173
501	56534	56083
502	56657	55981
503	56791	55890
504	56914	55787
505	57028	55676
506	57138	55560
507	57261	55457
508	57393	55363
509	57528	55272
510	57643	55161
511	57733	55027
512	57868	54935
513	57991	54832
514	58084	54701
515	58175	54567
516	58306	54472
517	58439	54378
518	58517	54233
519	58640	54129
520	58717	53984
521	58843	53883
522	58971	53784
523	59099	53685
524	59256	53613
525	59373	53503
526	59468	53375
527	59597	53276
528	59692	53148
529	59813	53042
530	59905	52911
531	60007	52788
532	60133	52687
533	60243	52572
534	60350	52454
535	60486	52361
536	60632	52277
537	60750	52168
538	60823	52021
539	60890	51869
540	60984	51741
541	61151	51674
542	61262	51560
543	61412	51478
544	61535	51373
545	61685	51291
546	61778	51162
547	61894	51052
548	62002	50934
549	62114	50820
550	62238	50717
551	62357	50608
552	62497	50518
553	62632	50422
554	62724	50292
555	62885	50217
556	63001	50107
557	63173	50040
558	63261	49907
559	63374	49794
560	63524	49709
561	63665	49618
562	63841	49553
563	63983	49462
564	64086	49341
565	64192	49221
566	64302	49105
567	64428	49002
568	64557	48900
569	64695	48805
570	64822	48702
571	64977	48619
572	65051	48476
573	65145	48348
574	65243	48223
575	65379	48126
576	65481	48004
577	65602	47896
578	65772	47824
579	65880	47706
580	65988	47588
581	66096	47471
582	66207	47356
583	66325	47245
584	66437	47130
585	66550	47016
586	66654	46896
587	66768	46783
588	66925	46700
589	67075	46612
590	67181	46492
591	67303	46384
592	67428	46278
593	67558	46176
594	67679	46067
595	67784	45948
596	67920	45849
597	68006	45716
598	68125	45606
599	68250	45500
600	68345	45374
601	68404	45223
602	68495	45095
603	68609	44982
604	68731	44874
605	68829	44750
606	68942	44636
607	69081	44539
608	69244	44457
609	69372	44352
610	69498	44247
611	69610	44132
612	69752	44036
613	69862	43920
614	69973	43804
615	70054	43670
616	70201	43577
617	70258	43428
618	70385	43323
619	70486	43201
620	70582	43077
621	70675	42950
622	70798	42842
623	70947	42750
624	71081	42648
625	71191	42532
626	71301	42417
627	71400	42294
628	71529	42189
629	71636	42072
630	71733	41948
631	71844	41833
632	71991	41739
633	72125	41637
634	72272	41542
635	72382	41426
636	72463	41293
637	72587	41186
638	72717	41081
639	72817	40960
640	72924	40842
641	73055	40738
642	73193	40637
643	73272	40504
644	73389	40392
645	73493	40273
646	73609	40160
647	73755	40064
648	73880	39956
649	73996	39844
650	74106	39728
651	74216	39612
652	74309	39487
653	74434	39379
654	74573	39278
655	74652	39147
656	74771	39036
657	74864	38911
658	74990	38803
659	75061	38668
660	75193	38563
661	75284	38438
662	75422	38336
663	75476	38192
664	75580	38074
665	75741	37984
666	75880	37883
667	75960	37752
668	76077	37640
669	76194	37528
670	76303	37412
671	76410	37295
672	76515	37177
673	76633	37066
674	76794	36975
675	76909	36861
676	77047	36759
677	77161	36645
678	77309	36548
679	77437	36441
680	77556	36329
681	77665	36213
682	77796	36107
683	77864	35972
684	77995	35866
685	78069	35734
686	78210	35633
687	78340	35526
688	78500	35433
689	78653	35337
690	78809	35241
691	78943	35136
692	79027	35009
693	79222	34931
694	79339	34817
695	79489	34719
696	79574	34592
697	79742	34501
698	79877	34396
699	79980	34277
700	80104	34167
701	80270	34074
702	80443	33985
703	80524	33856
704	80683	33761
705	80851	33668
706	80994	33566
707	81106	33450
708	81238	33343
709	81382	33240
710	81518	33135
711	81634	33020
712	81755	32908
713	81856	32788
714	81917	32652
715	82044	32542
716	82207	32447
717	82337	32338
718	82485	32237
719	82649	32141
720	82823	32049
721	82942	31936
722	83070	31826
723	83224	31726
724	83344	31613
725	83420	31483
726	83542	31371
727	83633	31247
728	83706	31117
729	83814	30999
730	83935	30887
731	84060	30776
732	84218	30677
733	84356	30570
734	84535	30478
735	84670	30371
736	84809	30264
737	84915	30146
738	85063	30042
739	85214	29940
740	85333	29826
741	85512	29733
742	85688	29639
743	85866	29545
744	86005	29438
745	86140	29329
746	86266	29217
747	86396	29106
748	86543	29002
749	86691	28897
750	86834	28790
751	86974	28683
752	87120	28577
753	87281	28476
754	87452	28378
755	87568	28262
756	87701	28152
757	87828	28040
758	87986	27937
759	88129	27830
760	88267	27721
761	88417	27616
762	88563	27509
763	88691	27396
764	88830	27287
765	88961	27176
766	89099	27066
767	89203	26946
768	89406	26856
769	89564	26753
770	89755	26658
771	89881	26545
772	90020	26435
773	90155	26324
774	90302	26216
775	90410	26097
776	90607	26004
777	90719	25886
778	90838	25770
779	90956	25654
780	91077	25539
781	91187	25420
782	91345	25315
783	91486	25205
784	91612	25091
785	91749	24980
786	91877	24866
787	92023	24757
788	92171	24649
789	92298	24534
790	92373	24407
791	92505	24294
792	92650	24184
793	92773	24069
794	92925	23962
795	93063	23850
796	93204	23739
797	93334	23626
798	93410	23498
799	93568	23392
800	93629	23261
801	93783	23153
802	93885	23032
803	94006	22917
804	94126	22800
805	94262	22688
806	94380	22571
807	94529	22462
808	94653	22347
809	94757	22227
810	94882	22111
811	95020	21999
812	95162	21888
813	95320	21780
814	95468	21670
815	95569	21550
816	95771	21451
817	95905	21338
818	96007	21217
819	96163	21109
820	96322	21000
821	96452	20886
822	96589	20773
823	96734	20661
824	96883	20550
825	96998	20433
826	97126	20317
827	97225	20196
828	97371	20084
829	97444	19958
830	97614	19851
831	97739	19735
832	97892	19625
833	98009	19507
834	98121	19389
835	98214	19266
836	98290	19141
837	98419	19026
838	98501	18901
839	98647	18789
840	98784	18676
841	98875	18553
842	99005	18438
843	99104	18317
844	99201	18196
845	99284	18072
846	99411	17957
847	99526	17839
848	99618	17717
849	99715	17596
850	99832	17479
851	99940	17360
852	100054	17242
853	100163	17123
854	100284	17007
855	100409	16891
856	100495	16768
857	100564	16643
858	100694	16528
859	100790	16407
860	100877	16285
861	100970	16164
862	101058	16042
863	101206	15930
864	101330	15814
865	101490	15704
866	101586	15583
867	101698	15465
868	101852	15353
869	101914	15228
870	102049	15114
871	102154	14995
872	102253	14875
873	102378	14759
874	102518	14645
875	102671	14533
876	102838	14423
877	102988	14310
878	103130	14196
879	103259	14080
880	103376	13963
881	103468	13842
882	103554	13721
883	103628	13598
884	103701	13475
885	103776	13352
886	103900	13236
887	103963	13112
888	104104	12998
889	104256	12885
890	104320	12762
891	104383	12638
892	104489	12520
893	104569	12398
894	104725	12286
895	104868	12172
896	105027	12060
897	105163	11945
898	105286	11828
899	105410	11712
900	105518	11594
901	105639	11477
902	105750	11359
903	105853	11241
904	105978	11124
905	106124	11010
906	106247	10894
907	106385	10779
908	106491	10660
909	106630	10545
910	106762	10430
911	106882	10313
912	106993	10195
913	107087	10076
914	107229	9961
915	107306	9840
916	107395	9720
917	107547	9606
918	107654	9488
919	107783	9372
920	107914	9256
921	108011	9137
922	108110	9018
923	108239	8902
924	108345	8784
925	108452	8666
926	108583	8550
927	108667	8431
928	108822	8316
929	108943	8200
930	109071	8083
931	109156	7964
932	109290	7848
933	109410	7731
934	109532	7614
935	109657	7497
936	109789	7381
937	109873	7262
938	110019	7147
939	110150	7030
940	110265	6913
941	110374	6795
942	110471	6677
943	110578	6559
944	110704	6443
945	110789	6324
946	110924	6208
947	111033	6090
948	111148	5973
949	111237	5854
950	111312	5735
951	111432	5618
952	111529	5500
953	111639	5383
954	111743	5265
955	111844	5147
956	111917	5028
957	112009	4910
958	112100	4792
959	112221	4675
960	112363	4560
961	112438	4441
962	112582	4325
963	112688	4208
964	112801	4091
965	112900	3973
966	113050	3857
967	113179	3741
968	113312	3625
969	113408	3507
970	113540	3391
971	113696	3275
972	113804	3157
973	113936	3041
974	114071	2924
975	114168	2807
976	114272	2690
977	114371	2572
978	114479	2455
979	114591	2338
980	114706	2221
981	114808	2104
982	114933	1987
983	115052	1870
984	115166	1753
985	115304	1637
986	115364	1519
987	115469	1402
988	115552	1285
989	115662	1168
990	115811	1051
991	115906	934
992	116008	817
993	116143	701
994	116203	583
995	116333	467
996	116442	350
997	116533	233
998	116654	116
999	116805	0
